horizon,climate_mean,climate_lower,climate_upper,inflation_mean,inflation_lower,inflation_upper,rate_mean,rate_lower,rate_upper,output_mean,output_lower,output_upper,fx_mean,fx_lower,fx_upper
0,0.0,0.0,0.0,-0.035869214379669084,-0.06234706558170419,-0.010756802177798123,0.05561157553563416,0.015703833303400354,0.0989767580048727,0.0019177464566338006,-0.04530571258582926,0.05087081880641291,-0.0017426127097033483,-0.05059077573639089,0.04717289219746553
1,-0.0012588328308528146,-0.02030180501921122,0.016685302925437944,-0.03356986292410414,-0.06613756767458163,-0.0033491283999244168,0.01713548045932567,0.002889556917339686,0.0332308881217364,0.004641981662300267,-0.0364491162658674,0.04539804526457099,-0.004602552929696368,-0.0538185980797165,0.04634171689774048
2,-0.0026123145673402825,-0.03337151827559259,0.027059009145048107,-0.03386016702869373,-0.07026250980513878,0.006207775010522737,0.006076351409566279,-0.003907058011730418,0.015560850132198656,0.004830338637794046,-0.03713152666286351,0.042985523860991554,-0.005343785346848203,-0.05772595992803407,0.04718530443455635
3,-0.004184123172458334,-0.04785607245201963,0.03664965124856632,-0.035977793555662836,-0.08645152918849985,0.012360700008721186,0.0024331948903488494,-0.006063892222333443,0.011361176538999424,0.004317769824470761,-0.03899044903199589,0.04249888569550132,-0.005634016020155505,-0.06418179778470388,0.05073287270466393
4,-0.006158513795573887,-0.06355578264050422,0.045257820471004344,-0.040054136699616216,-0.10134028742556439,0.01995987742382213,0.0011979018984598403,-0.009184380441702935,0.011547173003980041,0.003608297385353178,-0.04263127260151986,0.048555643171987774,-0.005861702257588427,-0.07039304704341298,0.06108676271533002
5,-0.008771791807267029,-0.08247945947761531,0.06134807191126251,-0.04655435106313648,-0.12890319444615136,0.030333097384186783,0.0008595566407297151,-0.01083428704321111,0.013495798764065392,0.0029082196601232318,-0.05133651020454671,0.05417152317929803,-0.0060075112896542365,-0.09055236815570039,0.07223212052167678
6,-0.012345488090795846,-0.10560463708401904,0.07721725759437892,-0.05621352002199696,-0.16056783280555462,0.042157133695084274,0.0009259567303581325,-0.012756509984513905,0.01701326029535837,0.0023513947679987294,-0.06138148953877594,0.063898782285724,-0.005847592451662476,-0.10786158984757971,0.08726909174516911
7,-0.017350424452764142,-0.13071651604384776,0.08571215320906883,-0.07007493799938991,-0.21077678718480808,0.0566152741824465,0.0012457561263177536,-0.014784594403092892,0.020681716432668404,0.002069228307400983,-0.07912666799427148,0.07349558501908483,-0.004970580821185762,-0.1284185983114616,0.11227140178704474
8,-0.024516725237053085,-0.1502031072939447,0.10911815303888894,-0.08958763602718979,-0.2697776371387834,0.0692819379450136,0.0017963846011723025,-0.01759807580293059,0.026694354406947472,0.002226726523409735,-0.0963554947108086,0.08714370663719112,-0.0027037793481456615,-0.14936908737536894,0.13863264577783085
9,-0.035021105797825816,-0.18991157824767704,0.13232797961169562,-0.11677021831651943,-0.33984474879540594,0.09400925561249183,0.002611457247362104,-0.021222420914162706,0.030866075747794534,0.0030571838270365,-0.11883380874673555,0.106704317188486,0.002048113713152642,-0.18168479807883176,0.17352317059265043
10,-0.05080499515732701,-0.2399857617291004,0.19259888437384398,-0.15447038615321126,-0.42215591008638303,0.10577856647983923,0.003755511305082673,-0.026660407893054953,0.03756292721457652,0.0049063303200713735,-0.15071378947006409,0.12679916462867422,0.011093519115691891,-0.2082373560731072,0.2096629690383027
11,-0.07511348067156941,-0.29034049301483894,0.2569602535401924,-0.20677277368293873,-0.5703856110760719,0.12745584562431847,0.005318532086063338,-0.030447854897164294,0.04829995087561701,0.008290551332823972,-0.1897740757731606,0.16811711406084165,0.027461305594737702,-0.25366673866599626,0.2615762085602436
12,-0.11340770755834974,-0.3649570491113928,0.3286973568441757,-0.2796406444161859,-0.732984198448417,0.14961525368374323,0.007423842154575816,-0.036486523648910245,0.06231303227229732,0.013969786250416429,-0.23949829023809746,0.20646870922932684,0.056280518063931605,-0.31499913415507447,0.32197616657442213
13,-0.17491093655667736,-0.47909593485049784,0.4230755816278562,-0.38192688965660815,-0.903986670912793,0.18816691656021814,0.010252336181000205,-0.04798972288727334,0.07680222837549344,0.023028546038304044,-0.2950780124904928,0.26100156336926195,0.10629927854235359,-0.3986518799944918,0.40044955036584823
14,-0.2752319886322395,-0.6145333025229688,0.5319055180539382,-0.5269668946352282,-1.221757661412834,0.21535325932532987,0.014093653846552374,-0.05927870594418162,0.09532041797587429,0.036943259008473166,-0.3645300865750095,0.33808028003367546,0.1924943464952728,-0.46802257724271984,0.5160287649797314
15,-0.44082212193867515,-0.7862824974612327,0.6650121222772859,-0.7350860746106699,-1.560884003507498,0.2686746658592195,0.019445256877611675,-0.07234455597258643,0.12180044063818617,0.05758294690713572,-0.45266597006104636,0.4890267198353214,0.3405300567590702,-0.6305224792482084,0.632708235401667
16,-0.7165530015003991,-1.0444825722753588,0.9052719220606713,-1.03754294838923,-1.996514539879416,0.34650649587865745,0.027197448240407714,-0.093319955534102,0.1345290354883479,0.08702853125592583,-0.5652025296728956,0.6530663126933495,0.5943359788560693,-0.7798836684066398,0.8307661767784806
17,-1.1786094674391543,-1.2826000133102533,1.168088825176661,-1.482722739321434,-2.642569513029047,0.40425418484153325,0.038971464252692954,-0.11598788224432524,0.1752319334410616,0.12697715644319077,-0.7038984771599369,0.8755042664016898,1.0289207892450853,-1.0139235168462408,1.0784760813656673
18,-1.9564371325203898,-1.4441458176001092,1.563899054346894,-2.1458552269316127,-3.5856467051722647,0.4378759370252763,0.057727281030764015,-0.1486524602370467,0.24309787842933167,0.17727324145882525,-0.8382972365551425,1.2140618489219348,1.7719483936720983,-1.250245134082218,1.4162667179545667
19,-3.270127025081742,-1.7170755738730725,2.0038669546777355,-3.144242531169157,-4.799659294529924,0.5323979633265339,0.0888414630623255,-0.19457545590267222,0.2969338963950558,0.23269037354042782,-1.0412895966726794,1.5076663208308652,3.0399422426637073,-1.560183147828623,1.8549677415764954
20,-5.494138341722311,-2.200321650975172,2.5812153224120498,-4.661079950112382,-6.408210978967998,0.6946438895917368,0.14199598707179778,-0.23788123245323894,0.34743401333272295,0.2763226923438674,-1.321655947062025,1.9044127544853586,5.198873511260156,-1.8934708526919934,2.350766262611466
21,-9.26599422101622,-2.585480451821313,3.2329920477521394,-6.982630100670667,-8.7253125434104,0.862057907355507,0.23445418599035625,-0.3134930425744976,0.4730964706176502,0.26655784212836997,-1.6780366369259072,2.421166801129125,8.865361163507869,-2.432455993851208,3.0653075604495146
22,-15.671828376571039,-2.9178615508757577,4.44211148440646,-10.55604715436677,-11.965650415251185,1.0943068336967112,0.3966922810246169,-0.40546600361522267,0.6866232956827893,0.11211712182972003,-2.1097985466042966,3.1717228419486396,15.075494537201237,-3.0903085922509757,3.805995583250845
23,-26.563344632604828,-3.5297569866507352,5.821817892234572,-16.07893720869518,-15.949290777330662,1.3627045150903996,0.6820081306585579,-0.4848120922561961,0.9486991828576745,-0.3747723852255176,-2.691369335691606,4.344511841491856,25.566276973651252,-4.071182279348748,4.816170318246995
24,-45.09961605041019,-5.13383638597116,7.637995642053261,-24.637318466191555,-21.636603002771537,1.7162135727089631,1.1828150613113095,-0.6019252071370257,1.282320389039976,-1.564812583288558,-3.435346839338623,5.8933084386092975,43.244741999394094,-5.381657827800005,6.653497091381656
